url,quantity_sold
https://www.lazada.vn/products/thorakao-kem-nam-oc-sen-30g-new-i1381233407.html,93
https://www.lazada.vn/products/nuoc-hoa-hong-diep-ca-toner-tia-to-chinoshio-dokudami-natural-skin-lotion-500ml-i2333020723.html,101
https://www.lazada.vn/products/kem-duong-trang-dang-gel-hada-labo-koi-gokujyun-whitening-perfect-gel-100g-i1462411373.html,716
https://www.lazada.vn/products/serum-duong-am-da-mat-sam-1700-ngua-lao-hoa-da-giup-mo-nep-nhan-va-dom-nau-co-mem-30ml-i2364996482.html,124
https://www.lazada.vn/products/kem-duong-la-roche-posay-giam-mun-hieu-qua-75ml-40ml-effaclar-duo-m-hasaki-san-pham-chinh-hang-i2535113424.html,103
https://www.lazada.vn/products/tinh-chat-duong-am-va-lam-min-da-rich-moist-soothing-serum-dear-klairs-80ml-i1972920782.html,566
https://www.lazada.vn/products/bo-doi-ket-hop-giam-nam-1-kem-duong-da-ban-dem-10gvien-uong-sac-ngoc-khang-vi-tao-luc-hop-60-vien-i1253170190.html,103
https://www.lazada.vn/products/kem-nam-sam-tan-nhang-cydo-luxury-no1-12g-18g-sach-nam-tan-nhang-giup-da-trang-sang-mem-min-tu-thao-duoc-thien-nhien-chinh-hang-gia-bao-i785928010.html,135
https://www.lazada.vn/products/combo-mo-tham-trang-da-kiem-dau-danh-cho-nam-gioi-themenco-lightening-serum-30ml-va-cool-facial-gel-120ml-i2238240773.html,47
https://www.lazada.vn/products/tinh-chat-truyen-trang-ho-tro-mo-nam-chuyen-sau-angels-liquid-glutathione-niacinamide-700-v-ampoule-30ml-i2007659072.html,13
https://www.lazada.vn/products/tinh-chat-chong-lao-hoa-yves-rocher-the-anti-aging-correcting-supra-essence-50ml-i1628815972.html,11
https://www.lazada.vn/products/kem-duong-am-da-nivea-creme-30-ml-60-ml-8010180102-i2118754098.html,990
https://www.lazada.vn/products/cham-mun-mario-badescu-buffering-lotion-danh-cho-boc-mun-nang-bill-hang-ref102-i1640838471.html,116
https://www.lazada.vn/products/serum-duong-sang-lam-deu-mau-da-uriage-depiderm-serum-correcteur-eclat-30ml-i222158023.html,179
https://www.lazada.vn/products/tinh-chat-duong-sang-da-mo-tham-sau-4-tuan-innisfree-vitamin-c-green-tea-enzyme-brightening-serum-10ml-i2585809453.html,14
https://www.lazada.vn/products/nuoc-hoa-hong-duong-am-lam-sang-da-hatomugi-nhat-ban-i2007643260.html,90
https://www.lazada.vn/products/huyet-thanh-trang-da-7day-whitening-program-glutathione-niacinamide-i2338405819.html,7
https://www.lazada.vn/products/giam-5-don-129kkem-mo-seo-klirvin-nga-25g-i1055210994.html,4300
https://www.lazada.vn/products/nuoc-xit-khoang-lam-diu-da-giam-kich-ung-chong-oxy-hoa-la-roche-posay-thermal-spring-water-sensitive-skin-i2007590192.html,32
https://www.lazada.vn/products/tinh-chat-chuyen-sau-nivea-luminous-630-giup-lam-mo-dom-nau-ngan-ngua-tham-nam-30-ml-94429-i2121772570.html,410
